Method,Name,Error,Occurrences
GET,/viewer/user,HTTPError('401 Client Error: Unauthorized for url: /viewer/user'),1
GET,/v1/transform-points,HTTPError('405 Client Error: METHOD NOT ALLOWED for url: /v1/transform-points'),4
GET,/v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588,HTTPError('400 Client Error: Bad Request for url: /v3_0/map?map_type=LABELLED&parcellation_id=minds/core/parcellationatlas/v1.0.0/94c1125b-b87e-45e4-901c-00daee7f2579-310&space_id=minds/core/referencespace/v1.0.0/a1655b99-82f1-420f-a3c2-fe80fd4c8588'),1
GET,/viewer/live/geolocation,HTTPError('500 Server Error: Internal Server Error for url: /viewer/live/geolocation'),1
